epoch,acc,loss,val_acc,val_loss
0,0.57205319738,0.739342724013,0.602132895865,0.645451999278
1,0.622517762777,0.648195617782,0.625922887662,0.619798436186
2,0.643833120863,0.625526600326,0.670221493076,0.585847620596
3,0.653488795752,0.608700226013,0.684167350336,0.568998645059
4,0.661960284205,0.597939732959,0.701394585775,0.561186136893
5,0.678994352341,0.591232421685,0.70221493032,0.558416511922
6,0.690380761566,0.581709325031,0.713699753946,0.555646406519
7,0.693295682208,0.57168071987,0.720262510303,0.53600746205
8,0.697759154738,0.561532005464,0.717801476669,0.531026422929
9,0.709692111463,0.55178602639,0.73010664484,0.516550680059
10,0.725086536677,0.536383535632,0.738310090287,0.513201909172
11,0.732464929903,0.532437851171,0.744052502051,0.506992072246
12,0.738568045214,0.520276286907,0.739130434832,0.517190362436
13,0.745764255828,0.513596305942,0.737489745742,0.512477251914
14,0.747130624908,0.511176900018,0.749794913864,0.491347476241
15,0.756239752275,0.494509260155,0.752255947498,0.492838930849
16,0.752140644981,0.494427540172,0.749794913864,0.493977754966
17,0.764437966897,0.481967897412,0.753896636587,0.500513475263
18,0.761796319989,0.483110781879,0.748154224774,0.510102105591
19,0.775186737143,0.470357152413,0.748974569319,0.503136772201
20,0.775915467244,0.469640500201,0.753076292043,0.491619539185
21,0.779194753088,0.460261631879,0.737489745693,0.502088763779
22,0.78693751143,0.449841330277,0.754716981132,0.497726241385
23,0.787575150333,0.44667257896,0.753896636587,0.487846831583
24,0.791492075005,0.441744589305,0.765381460213,0.498354805204
25,0.795408999861,0.435987279006,0.76127973749,0.487298780687
26,0.79513572603,0.430207522292,0.764561115669,0.481235766137
27,0.806157770107,0.418952302749,0.77358490566,0.486484937987
28,0.808343960605,0.415379537001,0.764561115669,0.485158780921
29,0.80433594466,0.415913662421,0.764561115669,0.489071003023
30,0.812351976735,0.406849639004,0.756357670221,0.516291109507
31,0.819001639675,0.397018113582,0.764561115669,0.500050179544
32,0.820823465145,0.391695788414,0.767022149303,0.48984839604
33,0.821005647605,0.388488748633,0.776045939343,0.496395028547
34,0.82592457636,0.381319367271,0.774405250205,0.508331055715
35,0.82883949722,0.37784741033,0.767022149303,0.516881004575
36,0.834396064879,0.367247092643,0.768662838441,0.504918044615
37,0.831481144052,0.372081937941,0.764561115669,0.510396683333
38,0.844051739789,0.353550447094,0.764561115669,0.530303678618
39,0.842867553332,0.348974341517,0.772764561116,0.533299618918
